;Nama_umkm;Sektor_usaha;Sektor_umkm;Kabupaten;Kecamatan;Desa;Jenis_usaha;Omset;Aset;Cluster
0;Umah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tandi Ateuk Meunjeng;Kelontong;30000;45000;0
1;Syarifuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Amalia Peuniti;Kelontong;30000;72000;2
2;Muhammad;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. T. Sulaiman Daud;Kelontong;40000;40000;0
3;M. Jamil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. T. Sulaiman Daud;Kelontong;35000;73000;2
4;Munawir;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Kelontong;20000;60000;0
5;Herman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Kelontong;30000;60000;0
6;Ismail Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Kelontong;25000;75000;2
7;Saifullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Pakaian Jadi;30000;60000;0
8;Cut Nur Hasbi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Warkop;10000;15000;0
9;Arjuna;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Jualan Kain;10000;26000;0
10;Nurdiansyah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Jualan Kain;12000;24000;0
11;Darmanita;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Tgk. Sulaiman Daud;Warkop;15000;28000;0
12;Suriadi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Kelontong;13000;26000;0
13;Abdullah M. Yusuf;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Sembako;17000;75000;2
14;Zulfadli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Sembako;30000;70000;2
15;M. Yusuf;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Hasan Saleh;Sembako;18000;70000;2
16;M. Jamil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;10000;18000;0
17;Agus Salim Adam;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;5000;9000;0
18;T. Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;5000;17500;0
19;Hendrik Nasir M.;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman;Sembako;5000;24000;0
20;Munzir Abdullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman III;Sembako;6000;15000;0
21;Abdullah Umar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Jendral Sudirman III;Sembako;10000;24000;0
22;Hermawan Hamzah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Kopi;35000;52500;0
23;Tgk. Nyak Umar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Kopi;35000;52500;0
24;CV. Multi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Kopi;35000;52500;0
25;FA. Mutia;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Kopi;35000;52500;0
26;Hamdani/ Zainuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Bunga;50000;75000;2
27;Juminan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Kopi;22000;33000;0
28;Mukhlis;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Warkop;25000;37500;0
29;Abdullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Warkop;23000;34500;0
30;Abdullah Husen;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Bubuk Kopi;25000;37500;0
31;Mukhtar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Asesoris;50000;75000;2
32;Nyak Abbas;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Plastik;50000;75000;2
33;Surya;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. T. M. Pahlawan;Kios;34000;20000;0
34;Usman Juned;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Neusu Aceh;Warung;90000;45000;0
35;Muhibbatullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Kp. Baru;Kelontong;20000;10000;0
36;Taufik Abidin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Suka Ramai;Sembako;80000;40000;0
37;Dibaharuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Pakaian;75000;45000;0
38;Zulkifli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Ateuk Pahlawan;Kelontong;15000;8000;0
39;Hettilatifah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Ateuk Pahlawan;Sembako;60000;30000;0
40;Muhib;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Kp. Baru;Perabot;30000;15000;0
41;Ramilia;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Peuniti;Sembako;50000;25000;0
42;Zulkifli Rajab;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Karpet;60000;30000;0
43;Irwan NT.;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Warung Kopi;10000;5000;0
44;Kemalawati;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Cendol;20000;10000;0
45;Sriyadi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Mieso;50000;25000;0
46;Sudirman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Cendol;20000;10000;0
47;Muslim;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Cendol;25000;12500;0
48;Zulfikar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Roti;40000;20000;0
49;Azizah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Cendol;20000;10000;0
50;Ramlah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Nasi;20000;10000;0
51;Hasbi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Roti;30000;15000;0
52;Adison;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Jam;20000;10000;0
53;Bukhari;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Roti;40000;20000;0
54;Hanafiah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Peci;25000;12500;0
55;Amiruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Peci;20000;10000;0
56;Hasballah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Roti;20000;10000;0
57;Kak Nur;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Cendol;15000;7500;0
58;Ismail;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Jualan Pisang;15000;7500;0
59;H. Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh;Percetakan dan Foto Copy;40000;20000;0
60;Ismail H. Umar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;60000;30000;0
61;Husaini Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;40000;20000;0
62;Dedek A. jalil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;30000;15000;0
63;Azzuhri;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;30000;15000;0
64;Aswar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;30000;15000;0
65;Gunawan MY.;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Mie;30000;15000;0
66;Jauhari;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Bumbu;30000;15000;0
67;Zainuddin Syarif;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Buah-Buahan;40000;20000;0
68;Suwardi AS.;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Sembako;20000;10000;0
69;Sabirin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Sembako;30000;15000;0
70;Anwar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Pakaian;30000;15000;0
71;Tamrin M. jamil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ayam Potong;30000;15000;0
72;H. M. Zikri;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ayam Potong;30000;15000;0
73;Ibrahim;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ayam Potong;50000;25000;0
74;Saiful;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ayam Potong;50000;25000;0
75;Sayuti;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ayam Potong;50000;25000;0
76;Zamaluddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;40000;20000;0
77;Jubir Jufrizan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;30000;15000;0
78;M. Hasan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
79;M. Husen;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
80;M. Nasir;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
81;M. Nur;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
82;Maimun Hadi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
83;Mustafa;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
84;Sibrani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
85;Zulkifli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Ikan;20000;10000;0
86;Agani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Kelapa;20000;10000;0
87;Abd. Ali;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Kelapa;20000;10000;0
88;Ida Maryati;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Kelapa;20000;10000;0
89;Juliadi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Kelapa;20000;10000;0
90;Adnan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Kelapa;20000;10000;0
91;Faisal;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Kios;30000;15000;0
92;Yunerlli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Pakaian;30000;15000;0
93;Azmi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Pecah Belah;70000;35000;0
94;Ernajulita;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
95;Fakruzi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
96;Faisal H. M. Sufi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
97;Maryuni;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
98;Mawardi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
99;Nazaruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
100;Sajiman Kasih;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Rempah-Rempah;50000;25000;0
101;Taufik Rizal;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Rokok;20000;10000;0
102;A. Manaf;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Sayur;20000;10000;0
103;Abdullah Ali;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Sayur;20000;10000;0
104;Apok;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Sayur;20000;10000;0
105;M. Ali Abdullah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Seutui;Jualan Sayur;20000;10000;0
106;Zakaria;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Ateuk Pahlawan;Sembako;40000;20000;0
107;Hamdani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Ateuk Dayah Teungoh;Jualan Ikan;50000;25000;0
108;Zakaria/Barokah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl. Cempaka No.1 Ateuk Pahlawan;Sembako;800;15800;0
109;Hamdani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Ateuk dayah Teungoh;Jualan Ikan;5000;6500;0
110;Hasbi Said (HI);Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl.Diponegoro No.178;Jualan Pakaian&Sepatu;30000;30000;0
111;M. Yusuf Ibrahim;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl.Cut Meutia No.3 Kp. Baru;Jualan Pakaian&Sepatu;50000;45000;0
112;Sri Ani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Langgar No. 3;Kelontong;25000;72000;2
113;Kios Berkah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Elang No. 37;Kelontong;40000;108000;2
114;Muhammad Haikal;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Elang No. 10B;Kelontong;30000;108000;2
115;Tgk. Syarifuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Aceh Gp. Baru;Jualan Peci;10000;108000;2
116;Sabri/Cafe rangka Baja Kupi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl.Aladinsyah. Gp. Peuniti;Jualan Kopi;30000;108000;2
117;fazilla Dwi Purti/Sejahtera;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jl.Sentosa No.1;Jualan Tappeeware;21000;108000;2
118;Syamsuddin Husen;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;18000;5000;0
119;Fauzi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;14000;5000;0
120;Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;17200;5000;0
121;Abubakar Ali;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;13400;5000;0
122;Saifuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;16000;5000;0
123;Syaukiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;9000;5000;0
124;Bakri M.Husen;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;18000;5000;0
125;Ismudi Ishak;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;14000;5000;0
126;Ramli Jafar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;12000;5000;0
127;Azhari Ishak;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;17000;5000;0
128;hasmuni;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;16000;5000;0
129;Mahyuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;12000;5000;0
130;Maur Ib;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;14000;5000;0
131;Hamid;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;16000;5000;0
132;Nurdin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;18000;5000;0
133;Mahdan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;14000;5000;0
134;Salam;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;17200;5000;0
135;Asnawi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;13400;5000;0
136;Azhar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;16000;5000;0
137;Nuraini;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;9000;5000;0
138;indun;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;18000;5000;0
139;Wati Ismail;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;14000;5000;0
140;Aisya;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;12000;5000;0
141;Ranisa;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;17000;5000;0
142;Fatimasyam;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;16000;5000;0
143;Nawiyah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;12000;5000;0
144;Nurmala;Perdagangan;Mikro;Banda Aceh;Baiturrahman;pasar kampong Baro Gp. Baru;Jual Ayam;14000;5000;0
145;Arlan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Jamu;12000;4000;0
146;Dedi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;12000;4000;0
147;Kamiruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Goreng;13000;5000;0
148;Muhammad;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
149;Bakhari;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
150;Salihin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
151;Zamhur;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Vaucer;15000;6000;0
152;Asri;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
153;A.Bakar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Sate;12000;4500;0
154;Akmaluddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Sate;12000;4500;0
155;Mustafa;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
156;Kamiruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Sate;12000;4500;0
157;Hasan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;12000;4500;0
158;fatma;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Rokok;20000;8000;0
159;Masrsyuddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Rokok;20000;8000;0
160;Zakaria;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Rokok;20000;8000;0
161;Dhani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Buah;18000;6000;0
162;Meidy;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
163;Reda;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
164;Iswandi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
165;Mukhtar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Rokok;20000;8000;0
166;Khairunar;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
167;Helmi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
168;Rosnita;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
169;Zulfadli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
170;Salbiah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Sate;12000;4500;0
171;Abdul Kadir;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
172;Fakri;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
173;Isfandial;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
174;M.Rodi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Sate;12000;4500;0
175;Jasmi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Sate;12000;4500;0
176;Khairil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual jamu;11000;4000;0
177;Saiful;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
178;Mustaqim;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
179;Ruslan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Rokok;20000;8000;0
180;Nasruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Vaucer;15000;6000;0
181;Suposo;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Nasi;13000;5000;0
182;Feni;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
183;Alam;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Kue;11000;4000;0
184;Salihin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Jln. Mohd. Jam Gp. Baru;Jual Rokok;20000;8000;0
185;Nasruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;20000;10000;0
186;Sabirin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;22000;10000;0
187;Rusli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;23000;10000;0
188;Mahdi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;25000;10000;0
189;Gunawan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;23000;10000;0
190;Joni;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;27000;10000;0
191;Lukman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;26000;10000;0
192;Nasruddin;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;28000;10000;0
193;Faisal;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;30000;10000;0
194;Rusli;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;29000;10000;0
195;Muslim;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;29000;10000;0
196;Saleh;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;29000;10000;0
197;Mariani;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;28000;10000;0
198;Ismail;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Pakaian Jadi;40000;20000;0
199;Thalib;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;25000;10000;0
200;Bahrul Jamil;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;26000;10000;0
201;Yunus;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;26000;10000;0
202;T.Johan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Kukur Kelapa;7000;3000;0
203;Hadi;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;25000;10000;0
204;Hasballah;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;24500;10000;0
205;Husen;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Bumbu;8000;3000;0
206;Bakri;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Bumbu;8500;3000;0
207;H.Ibrahim;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Mie;9000;4000;0
208;Adnan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Sayur;5000;2000;0
209;Sulaiman;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Sayur;6000;2000;0
210;Irwan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;24000;10000;0
211;Adnan;Perdagangan;Mikro;Banda Aceh;Baiturrahman;Pasar Seutui;Rempah-Rempah;25000;10000;0
